Gross domestic product (GDP) at current market prices by metropolitan regions [met_10r_3gdp],,,,,,,,,,,,,,,,,,
Nottingham,"9,152.33","9,490.34","9,693.50","9,043.21","10,180.67","10,588.78","10,689.10","11,032.79","9,880.71","9,036.16","9,687.48","9,829.89","10,703.95","10,319.65","11,530","13,513.15","12,566.80","12,418.62"
Kirklees,"13,146.64","13,041.39","13,218.57","13,046.54","14,266.70","14,996.04","15,523.37","16,276.61","13,770.55","11,969.34","12,933.90","13,292.36","14,741.38","14,159.85","15,487.31","18,040.69","16,379.81","15,960.74"
Doncaster,"13,708.37","14,003.84","14,849.47","14,490.63","15,850.98","16,226.50","17,361.04","18,551.31","15,402.53","13,154.94","14,343.53","14,527.38","15,906.95","15,836.73","17,445.81","20,383.96","18,631.21","17,912.31"
Sunderland,"6,186.33","6,499.23","6,868.14","6,532.10","7,213.63","7,736.65","7,905.74","8,078.27","6,888.74","6,056.15","6,196.42","6,208.69","6,954.81","6,965.89","7,886.82","9,058.17","8,447.21","8,325.33"
Medway,"5,357.46","5,400.82","5,686.05","5,455.45","5,706.35","5,970.50","6,224.32","6,251.37","5,549.57","4,834.82","5,225.60","5,213.70","5,975.45","5,970.58","6,462.08","7,778.48","7,092.26","6,850.41"
Brighton and Hove,"6,751.72","7,179.03","7,730.42","7,297.46","7,600.28","8,087.28","8,416.83","8,967.38","8,062.77","6,987.87","7,405.41","7,550.83","8,741.10","8,926.20","9,957.91","11,430.76","10,560.38","10,195.96"
Plymouth,"5,831.36","5,794.39","5,961.70","5,559.74","6,115.94","6,376.32","6,745.19","6,926.32","5,970.06","5,073.91","5,520.73","5,684.74","6,474.78","6,418.80","6,847.11","7,667.33","6,936.24","6,750.20"
Swansea,"10,281.28","10,102.16","10,518.66","9,967.43","10,845.84","11,492.96","12,204.49","12,525.45","11,018.66","9,599.38","10,360.58","10,784.88","11,669.51","11,575.98","12,949.18","14,731.10","13,340.07","12,820.75"
Derby,"7,307.96","7,390.12","7,682.71","7,111.34","7,867.33","8,301.55","8,579.60","8,886.26","7,629.80","6,799.31","7,397.64","7,776.67","8,349.35","8,360.65","8,915.42","10,254.50","9,269.76","8,855.94"
Southampton,"22,234.94","22,773.24","23,970.47","22,611.23","24,545.67","25,627.03","26,433.84","28,078.45","24,815.58","21,927.36","23,769.54","24,478.58","26,981.95","26,592.73","29,006.38","33,538.99","30,055.20","29,327.52"
Northampton,"10,740.54","10,690.72","10,780.18","10,381.40","11,034.25","11,455.63","12,420.98","13,226.36","11,537.67","10,002.39","11,053.10","10,966.84","12,230.91","12,328.73","13,574.68","15,319.23","14,584.16","14,384.32"
Bournemouth,"8,693.07","8,697.84","8,878.93","8,669.35","9,012.53","9,644.02","10,098.25","10,471.41","9,243.74","8,408.86","8,666.18","8,738.11","9,679.07","9,668.41","10,657.08","12,079.10","11,168.05","10,965.54"
Colchester,"9,977.54","10,411.65","10,674.16","10,570.73","11,008.03","11,455.63","11,988.01","12,447.58","10,842.42","9,229.65","10,180.66","10,182.20","11,263.97","10,969.57","12,358.43","14,025.65","12,862.42","12,931.24"
Blackburn - Blackpool - Preston,"17,205","17,214.99","17,998.18","17,491.13","19,001.51","19,370.83","20,092.32","21,017.47","18,105.85","15,766.45","16,919.45","17,207.80","18,838.12","18,605.16","19,978.38","24,713.92","23,398.17","22,597.88"
Middlesbrough,"12,017.70","11,808.81","12,352.76","11,928.18","13,224.72","13,786.68","14,234.24","14,691.46","12,729.74","11,549.09","12,080.88","12,123.14","13,032.34","12,776.95","13,887.42","15,643.40","13,958.70","13,437.44"
Oxford,"22,266.04","22,469.12","23,689.53","22,858.32","23,615.09","24,343","25,309.10","26,254.79","23,794.20","21,057.27","22,768.95","23,444.88","26,037.08","25,998.18","28,992.48","33,938.79","30,955.76","29,824.72"
Norwich,"8,722.34","8,955.45","9,244.69","8,932.49","9,700.64","10,402.10","11,094.40","11,164.21","9,682.26","8,675.06","8,875.88","8,898.14","10,066.68","9,965.02","10,807.20","12,191.79","11,370.61","10,869.18"
Cheshire West and Chester,"17,199.51","17,553.11","18,141.29","17,020.99","18,216.75","18,854.62","20,121.62","21,124.54","17,861.61","16,366.64","17,655.97","17,743.36","19,560.92","19,367.13","21,130.68","24,531.76","23,009.47","22,831.70"
Ipswich,"18,037.52","18,388.54","19,079.55","18,288.58","19,350.48","20,000.67","21,402.62","21,999.05","19,400.61","16,545.35","17,835.90","18,264.73","20,023","20,044.74","21,968.85","24,859.02","22,768.59","22,252.27"
Non-metropolitan regions in United Kingdom,"399,659.76","405,578.38","419,343.73","405,160.05","433,281.39","447,993.35","473,352.93","490,748.08","433,863.14","376,512.95","402,835.70","410,002.11","452,102.47","447,524.33","492,396.90","563,494.18","515,114.13","498,476.55"
,,,,,,,,,,,,,,,,,,
Special value:,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UNIT,Euro per inhabitant,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METROREG/TIME,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017
Germany (until 1990 former territory of the FRG),"26,000","27,000","27,000","27,000","28,000","28,000","29,000","31,000","32,000","31,000","32,000","34,000","34,000","35,000","36,000","37,000","38,000","40,000"
Berlin,"23,000","24,000","24,000","24,000","24,000","24,000","25,000","26,000","27,000","27,000","28,000","30,000","30,000","30,000","31,000","33,000","34,000",:
Hamburg,"35,000","37,000","37,000","37,000","38,000","39,000","39,000","41,000","42,000","40,000","41,000","42,000","43,000","44,000","45,000","47,000","47,000",:
München,"48,000","49,000","50,000","49,000","50,000","51,000","52,000","54,000","53,000","51,000","52,000","55,000","56,000","57,000","59,000","61,000","62,000",:
Köln,"35,000","36,000","36,000","36,000","37,000","37,000","38,000","40,000","39,000","39,000","40,000","41,000","42,000","42,000","44,000","47,000","48,000",:
Frankfurt am Main,"43,000","44,000","44,000","45,000","45,000","46,000","47,000","49,000","49,000","47,000","48,000","50,000","50,000","50,000","52,000","52,000","53,000",:
Stuttgart,"36,000","39,000","38,000","39,000","39,000","38,000","41,000","44,000","43,000","39,000","44,000","46,000","47,000","47,000","49,000","52,000","53,000",:
Leipzig,"18,000","19,000","20,000","20,000","21,000","21,000","22,000","23,000","24,000","24,000","25,000","27,000","27,000","28,000","30,000","30,000","31,000",:
Dresden,"19,000","20,000","21,000","21,000","22,000","22,000","23,000","24,000","24,000","23,000","24,000","25,000","26,000","26,000","28,000","29,000","30,000",:
Düsseldorf,"39,000","42,000","42,000","42,000","44,000","44,000","45,000","49,000","51,000","48,000","49,000","50,000","51,000","52,000","53,000","54,000","55,000",:
Bremen,"27,000","27,000","28,000","28,000","29,000","29,000","30,000","32,000","32,000","30,000","32,000","33,000","34,000","35,000","36,000","37,000","38,000",:
Hannover,"29,000","29,000","30,000","30,000","30,000","32,000","34,000","34,000","35,000","34,000","36,000","37,000","38,000","38,000","39,000","39,000","41,000",:
Nürnberg,"31,000","31,000","32,000","31,000","33,000","33,000","34,000","36,000","37,000","36,000","37,000","39,000","40,000","41,000","42,000","44,000","45,000",:
Bielefeld,"27,000","28,000","28,000","28,000","28,000","29,000","29,000","32,000","32,000","31,000","32,000","34,000","35,000","36,000","37,000","38,000","39,000",:
Halle an der Saale,"20,000","21,000","22,000","22,000","23,000","23,000","24,000","24,000","25,000","25,000","26,000","27,000","28,000","28,000","28,000","30,000","30,000",:
Magdeburg,"19,000","20,000","21,000","21,000","21,000","22,000","23,000","24,000","25,000","24,000","25,000","26,000","27,000","28,000","29,000","29,000","30,000",:
Wiesbaden,"34,000","35,000","35,000","37,000","37,000","37,000","38,000","40,000","40,000","39,000","40,000","41,000","42,000","43,000","45,000","45,000","47,000",:
Göttingen,"22,000","22,000","23,000","23,000","24,000","24,000","25,000","27,000","27,000","26,000","27,000","29,000","29,000","29,000","30,000","31,000","32,000",:
Darmstadt,"29,000","31,000","32,000","31,000","32,000","32,000","33,000","34,000","35,000","34,000","36,000","38,000","38,000","39,000","40,000","41,000","44,000",:
Freiburg im Breisgau,"26,000","26,000","27,000","26,000","27,000","27,000","28,000","29,000","30,000","29,000","31,000","32,000","32,000","33,000","35,000","36,000","37,000",:
Regensburg,"30,000","30,000","30,000","31,000","32,000","32,000","34,000","36,000","38,000","35,000","39,000","41,000","41,000","42,000","44,000","45,000","45,000",:
Schwerin,"17,000","18,000","18,000","19,000","19,000","19,000","20,000","21,000","21,000","22,000","22,000","23,000","24,000","25,000","26,000","26,000","27,000",:
Erfurt,"20,000","20,000","21,000","21,000","22,000","22,000","23,000","24,000","24,000","24,000","25,000","27,000","27,000","28,000","30,000","30,000","31,000",:
Augsburg,"27,000","28,000","28,000","28,000","29,000","29,000","30,000","31,000","31,000","30,000","31,000","33,000","34,000","34,000","35,000","36,000","37,000",:
Bonn,"32,000","33,000","37,000","33,000","34,000","34,000","37,000","38,000","40,000","41,000","41,000","42,000","41,000","43,000","42,000","42,000","43,000",:
Karlsruhe,"34,000","35,000","35,000","34,000","35,000","36,000","38,000","40,000","41,000","40,000","42,000","43,000","43,000","43,000","44,000","46,000","47,000",:
Mönchengladbach,"23,000","25,000","25,000","24,000","24,000","24,000","25,000","27,000","28,000","27,000","27,000","29,000","30,000","30,000","31,000","32,000","34,000",:
Mainz,"34,000","34,000","34,000","33,000","33,000","34,000","35,000","36,000","38,000","38,000","39,000","40,000","42,000","42,000","43,000","44,000","45,000",:
Ruhrgebiet,"22,000","22,000","23,000","23,000","24,000","24,000","25,000","27,000","28,000","27,000","28,000","30,000","30,000","30,000","31,000","31,000","31,000",:
Kiel,"25,000","26,000","25,000","26,000","25,000","26,000","26,000","27,000","28,000","28,000","28,000","30,000","31,000","31,000","32,000","32,000","33,000",:
Saarbrücken,"25,000","26,000","26,000","26,000","28,000","29,000","31,000","33,000","33,000","30,000","32,000","34,000","34,000","34,000","36,000","37,000","37,000",:
Koblenz,"31,000","31,000","32,000","33,000","34,000","34,000","35,000","36,000","36,000","35,000","37,000","38,000","39,000","41,000","42,000","43,000","44,000",:
Rostock,"20,000","20,000","20,000","20,000","20,000","21,000","21,000","22,000","24,000","24,000","25,000","26,000","26,000","28,000","29,000","29,000","29,000",:
Kaiserslautern,"20,000","20,000","20,000","21,000","22,000","21,000","22,000","23,000","24,000","23,000","24,000","25,000","25,000","26,000","28,000","29,000","30,000",:
Iserlohn,"25,000","25,000","25,000","25,000","25,000","26,000","28,000","29,000","30,000","27,000","29,000","31,000","32,000","33,000","34,000","35,000","36,000",:
Flensburg,"23,000","23,000","23,000","23,000","24,000","24,000","24,000","25,000","26,000","26,000","26,000","27,000","28,000","29,000","29,000","30,000","31,000",:
Konstanz,"24,000","25,000","24,000","25,000","24,000","25,000","27,000","29,000","29,000","28,000","29,000","30,000","31,000","32,000","33,000","33,000","34,000",:
Gießen,"27,000","28,000","29,000","29,000","29,000","29,000","30,000","31,000","32,000","29,000","30,000","31,000","31,000","31,000","33,000","33,000","34,000",:
Bayreuth,"24,000","25,000","25,000","24,000","24,000","24,000","25,000","27,000","27,000","28,000","29,000","30,000","32,000","32,000","34,000","35,000","36,000",:
Aschaffenburg,"26,000","28,000","28,000","29,000","29,000","30,000","32,000","34,000","33,000","32,000","33,000","37,000","37,000","37,000","37,000","38,000","40,000",:
Neubrandenburg,"17,000","17,000","17,000","18,000","19,000","19,000","20,000","21,000","21,000","21,000","22,000","22,000","23,000","24,000","24,000","25,000","25,000",:
Rosenheim,"23,000","23,000","24,000","24,000","25,000","25,000","26,000","27,000","28,000","27,000","28,000","30,000","31,000","31,000","33,000","34,000","34,000",:
Offenburg,"28,000","28,000","29,000","29,000","30,000","30,000","32,000","34,000","34,000","32,000","33,000","36,000","35,000","36,000","37,000","38,000","40,000",:
Görlitz,"12,000","13,000","14,000","14,000","15,000","15,000","16,000","18,000","19,000","19,000","20,000","21,000","22,000","23,000","24,000","25,000","26,000",:
Schweinfurt,"25,000","26,000","27,000","26,000","28,000","29,000","30,000","31,000","32,000","30,000","33,000","36,000","36,000","38,000","39,000","39,000","40,000",:
Wetzlar,"23,000","23,000","23,000","24,000","26,000","26,000","27,000","29,000","30,000","27,000","28,000","30,000","30,000","30,000","31,000","32,000","32,000",:
Braunschweig-Salzgitter-Wolfsburg,"29,000","30,000","28,000","29,000","29,000","31,000","32,000","34,000","34,000","31,000","36,000","40,000","41,000","41,000","44,000","41,000","51,000",:
Mannheim-Ludwigshafen,"32,000","32,000","34,000","34,000","35,000","35,000","36,000","38,000","39,000","37,000","39,000","41,000","41,000","41,000","42,000","44,000","45,000",:
Münster,"34,000","35,000","35,000","36,000","37,000","38,000","40,000","42,000","43,000","39,000","39,000","40,000","40,000","41,000","43,000","43,000","45,000",:
Aachen,"26,000","26,000","27,000","26,000","27,000","27,000","27,000","29,000","30,000","29,000","31,000","31,000","33,000","32,000","35,000","36,000","37,000",:
Lübeck,"23,000","23,000","24,000","24,000","23,000","23,000","24,000","25,000","25,000","25,000","26,000","27,000","28,000","29,000","31,000","30,000","32,000",:
Kassel,"27,000","28,000","29,000","30,000","30,000","29,000","31,000","32,000","32,000","31,000","32,000","33,000","33,000","34,000","36,000","37,000","41,000",:
Osnabrück,"25,000","25,000","25,000","25,000","26,000","26,000","28,000","29,000","30,000","27,000","29,000","31,000","31,000","32,000","34,000","35,000","35,000",:
Oldenburg (Oldenburg),"24,000","25,000","25,000","24,000","25,000","25,000","26,000","27,000","28,000","28,000","28,000","29,000","30,000","30,000","31,000","32,000","33,000",:
Heidelberg,"27,000","28,000","29,000","28,000","28,000","29,000","30,000","32,000","33,000","32,000","34,000","35,000","34,000","35,000","36,000","37,000","38,000",:
Paderborn,"24,000","24,000","24,000","24,000","25,000","25,000","27,000","29,000","30,000","29,000","29,000","30,000","31,000","32,000","34,000","34,000","35,000",:
Würzburg,"26,000","27,000","27,000","27,000","27,000","28,000","28,000","30,000","30,000","29,000","32,000","33,000","34,000","35,000","36,000","37,000","38,000",:
Bremerhaven,"18,000","19,000","19,000","19,000","20,000","20,000","21,000","22,000","22,000","23,000","23,000","24,000","25,000","25,000","26,000","26,000","26,000",:
Heilbronn,"32,000","33,000","32,000","32,000","33,000","34,000","37,000","38,000","40,000","38,000","40,000","43,000","45,000","47,000","48,000","50,000","49,000",:
Ulm,"29,000","30,000","30,000","30,000","31,000","32,000","34,000","36,000","37,000","35,000","37,000","39,000","39,000","40,000","41,000","42,000","44,000",:
Pforzheim,"24,000","24,000","25,000","25,000","25,000","26,000","27,000","28,000","28,000","26,000","29,000","31,000","32,000","33,000","33,000","34,000","34,000",:
Ingolstadt,"28,000","31,000","31,000","32,000","33,000","34,000","37,000","38,000","37,000","37,000","45,000","49,000","52,000","57,000","57,000","61,000","61,000",:
Reutlingen,"28,000","28,000","29,000","29,000","30,000","29,000","30,000","32,000","33,000","30,000","33,000","34,000","34,000","36,000","38,000","39,000","40,000",:
Siegen,"23,000","24,000","23,000","24,000","25,000","25,000","27,000","29,000","30,000","28,000","29,000","32,000","32,000","32,000","33,000","34,000","35,000",:
Hildesheim,"19,000","19,000","20,000","21,000","21,000","21,000","21,000","22,000","23,000","22,000","23,000","24,000","25,000","25,000","26,000","27,000","27,000",:
Zwickau,"17,000","18,000","18,000","19,000","19,000","19,000","20,000","21,000","22,000","21,000","23,000","24,000","25,000","25,000","27,000","29,000","30,000",:
Wuppertal,"28,000","27,000","27,000","27,000","28,000","29,000","29,000","30,000","31,000","30,000","31,000","32,000","32,000","33,000","35,000","36,000","37,000",:
Düren,"21,000","20,000","20,000","20,000","21,000","21,000","22,000","23,000","24,000","24,000","24,000","25,000","26,000","26,000","27,000","27,000","28,000",:
Bocholt,"23,000","23,000","22,000","22,000","23,000","24,000","25,000","26,000","27,000","27,000","28,000","30,000","31,000","32,000","33,000","34,000","36,000",:
Non-metropolitan regions in Germany,"21,000","21,000","22,000","22,000","22,000","23,000","24,000","25,000","26,000","25,000","27,000","28,000","29,000","30,000","31,000","32,000","33,000",:
Ireland,"28,000","32,000","35,000","36,000","38,000","41,000","43,000","45,000","42,000","37,000","37,000","37,000","38,000","39,000","42,000","56,000","58,000","61,000"
Dublin,"35,000","38,000","40,000","43,000","46,000","51,000","52,000","55,000","52,000","47,000","46,000","45,000","46,000","50,000","55,000","60,000","65,000",:
Cork,"31,000","37,000","48,000","46,000","44,000","47,000","50,000","53,000","47,000","45,000","44,000","48,000","49,000","46,000","51,000",:,:,:
Non-metropolitan regions in Ireland,"21,000","24,000","24,000","27,000","29,000","30,000","32,000","33,000","30,000","26,000","25,000","26,000","27,000","26,000","26,000",:,:,:
Spain,"16,000","17,000","18,000","19,000","20,000","21,000","23,000","24,000","24,000","23,000","23,000","23,000","22,000","22,000","22,000","23,000","24,000","25,000"
Madrid,"21,000","23,000","24,000","25,000","26,000","28,000","30,000","32,000","32,000","31,000","31,000","31,000","30,000","30,000","31,000","32,000","33,000",:
Barcelona,"19,000","21,000","21,000","22,000","24,000","25,000","27,000","28,000","28,000","27,000","27,000","27,000","26,000","26,000","27,000","28,000","29,000",:
Valencia,"15,000","17,000","17,000","18,000","19,000","20,000","21,000","22,000","23,000","22,000","22,000","21,000","20,000","20,000","21,000","21,000","22,000",:
Sevilla,"12,000","13,000","14,000","15,000","16,000","18,000","19,000","20,000","20,000","19,000","19,000","19,000","18,000","18,000","18,000","19,000","19,000",:
Zaragoza,"17,000","18,000","19,000","21,000","22,000","23,000","25,000","26,000","27,000","26,000","26,000","25,000","24,000","24,000","25,000","25,000","26,000",:
Málaga - Marbella,"12,000","13,000","14,000","14,000","16,000","17,000","18,000","18,000","18,000","18,000","18,000","17,000","16,000","16,000","16,000","17,000","17,000",:
Murcia - Cartagena,"13,000","14,000","15,000","16,000","17,000","18,000","19,000","20,000","20,000","19,000","19,000","19,000","18,000","18,000","18,000","19,000","20,000",:
Las Palmas,:,:,"17,000","18,000","18,000","19,000","20,000","21,000","21,000","20,000","19,000","19,000","18,000","18,000","18,000","19,000","19,000",:
Valladolid,"16,000","17,000","18,000","19,000","20,000","21,000","23,000","24,000","24,000","23,000","24,000","23,000","22,000","22,000","22,000","23,000","24,000",:
Palma de Mallorca,:,:,"22,000","23,000","24,000","25,000","26,000","27,000","27,000","25,000","25,000","25,000","24,000","24,000","24,000","25,000","26,000",:
Vitoria/Gasteiz,"22,000","24,000","26,000","27,000","29,000","31,000","34,000","36,000","38,000","35,000","34,000","34,000","33,000","34,000","35,000","35,000","36,000",:
Oviedo - Gijón,"13,000","14,000","15,000","16,000","17,000","19,000","20,000","22,000","22,000","21,000","21,000","21,000","20,000","19,000","20,000","20,000","21,000",:
Pamplona/Iruña,"20,000","21,000","23,000","24,000","25,000","27,000","28,000","29,000","30,000","29,000","29,000","29,000","27,000","27,000","28,000","29,000","30,000",:
Santander,"15,000","16,000","17,000","18,000","19,000","20,000","21,000","22,000","23,000","22,000","22,000","21,000","21,000","20,000","20,000","21,000","22,000",:
Bilbao,"19,000","20,000","21,000","22,000","23,000","25,000","27,000","28,000","29,000","28,000","29,000","28,000","28,000","27,000","28,000","29,000","30,000",:
Córdoba,"11,000","11,000","12,000","13,000","14,000","15,000","16,000","17,000","18,000","17,000","17,000","17,000","16,000","16,000","16,000","17,000","17,000",:
Alicante/Alacant - Elche/Elx,"14,000","15,000","16,000","17,000","17,000","18,000","19,000","20,000","20,000","19,000","18,000","18,000","17,000","17,000","18,000","18,000","19,000",:
Vigo,"13,000","14,000","14,000","15,000","16,000","17,000","19,000","21,000","21,000","20,000","20,000","19,000","18,000","19,000","19,000","20,000","20,000",:
Santa Cruz de Tenerife,:,:,"18,000","18,000","19,000","20,000","21,000","22,000","22,000","20,000","21,000","20,000","19,000","19,000","19,000","20,000","20,000",:
A Coruña,"13,000","14,000","15,000","16,000","17,000","18,000","20,000","21,000","22,000","22,000","22,000","22,000","21,000","21,000","21,000","22,000","23,000",:
Granada,"11,000","11,000","12,000","13,000","14,000","15,000","16,000","17,000","17,000","17,000","16,000","16,000","16,000","16,000","16,000","17,000","17,000",:
Guipúzcoa,"20,000","22,000","23,000","24,000","25,000","27,000","30,000","31,000","32,000","30,000","31,000","31,000","30,000","29,000","30,000","30,000","31,000",:
Cádiz,"12,000","13,000","14,000","14,000","15,000","16,000","17,000","18,000","18,000","17,000","17,000","17,000","16,000","16,000","16,000","16,000","17,000",:
Non-metropolitan regions in Spain,:,:,"16,000","17,000","18,000","19,000","20,000","21,000","22,000","21,000","21,000","21,000","20,000","20,000","20,000","21,000","22,000",:
United Kingdom,"30,000","31,000","32,000","30,000","32,000","34,000","35,000","37,000","32,000","28,000","29,000","30,000","33,000","32,000","35,000","40,000","37,000","35,000"
London,"45,000","45,000","46,000","44,000","47,000","49,000","52,000","55,000","48,000","41,000","43,000","44,000","49,000","48,000","53,000","60,000","56,000","54,000"
West Midlands urban area,"26,000","26,000","27,000","25,000","27,000","28,000","29,000","30,000","25,000","22,000","23,000","24,000","26,000","25,000","28,000","32,000","30,000","29,000"
Leeds,"28,000","29,000","30,000","29,000","31,000","33,000","34,000","36,000","30,000","26,000","28,000","28,000","31,000","30,000","33,000","37,000","34,000","33,000"
Glasgow,"24,000","25,000","25,000","24,000","26,000","28,000","29,000","30,000","26,000","23,000","24,000","24,000","26,000","27,000","30,000","33,000","30,000","29,000"
Bradford,"24,000","23,000","24,000","22,000","23,000","24,000","26,000","27,000","23,000","20,000","20,000","21,000","23,000","22,000","24,000","28,000","25,000","24,000"
Liverpool,"22,000","23,000","24,000","24,000","25,000","26,000","28,000","28,000","25,000","22,000","24,000","24,000","25,000","24,000","27,000","31,000","28,000","27,000"
Edinburgh,"35,000","36,000","38,000","37,000","41,000","43,000","45,000","47,000","40,000","36,000","37,000","37,000","41,000","40,000","43,000","49,000","45,000","44,000"
Manchester,"26,000","27,000","28,000","27,000","28,000","30,000","31,000","32,000","28,000","24,000","26,000","26,000","29,000","29,000","31,000","35,000","32,000","31,000"
Cardiff,"23,000","23,000","24,000","23,000","24,000","25,000","26,000","27,000","23,000","20,000","21,000","22,000","24,000","24,000","26,000","29,000","27,000","26,000"
Sheffield,"24,000","25,000","27,000","25,000","27,000","27,000","29,000","31,000","26,000","23,000","24,000","24,000","27,000","26,000","27,000","31,000","28,000","27,000"
Bristol,"32,000","34,000","35,000","33,000","35,000","36,000","37,000","39,000","34,000","30,000","33,000","33,000","36,000","36,000","40,000","44,000","40,000","38,000"
Belfast,"31,000","32,000","33,000","33,000","35,000","36,000","38,000","40,000","34,000","30,000","31,000","32,000","35,000","34,000","37,000","42,000","39,000","37,000"
Newcastle upon Tyne,"23,000","23,000","25,000","24,000","26,000","27,000","29,000","29,000","25,000","22,000","23,000","24,000","26,000","25,000","27,000","31,000","28,000","27,000"
Leicester,"25,000","25,000","26,000","25,000","26,000","27,000","29,000","30,000","26,000","22,000","24,000","24,000","26,000","26,000","29,000","33,000","30,000","28,000"
Aberdeen,"40,000","42,000","43,000","40,000","42,000","45,000","49,000","53,000","50,000","44,000","46,000","47,000","53,000","52,000","57,000","60,000","51,000","49,000"
Cambridge,"32,000","32,000","33,000","31,000","32,000","33,000","36,000","38,000","33,000","28,000","30,000","31,000","35,000","34,000","37,000","43,000","39,000","37,000"
Exeter,"23,000","24,000","25,000","24,000","26,000","27,000","28,000","28,000","25,000","22,000","23,000","23,000","25,000","25,000","27,000","31,000","29,000","27,000"
Portsmouth,"29,000","30,000","31,000","29,000","31,000","32,000","33,000","34,000","30,000","26,000","29,000","28,000","31,000","31,000","33,000","37,000","33,000","32,000"
Coventry,"30,000","30,000","31,000","29,000","31,000","32,000","34,000","34,000","29,000","25,000","27,000","28,000","32,000","33,000","36,000","42,000","38,000","36,000"
Kingston upon Hull,"23,000","23,000","25,000","24,000","26,000","26,000","27,000","28,000","25,000","22,000","23,000","22,000","24,000","23,000","25,000","29,000","26,000","25,000"
Stoke-on-Trent,"23,000","23,000","24,000","22,000","24,000","25,000","26,000","26,000","23,000","20,000","21,000","22,000","23,000","23,000","25,000","29,000","26,000","25,000"
Nottingham,"34,000","35,000","36,000","33,000","36,000","37,000","37,000","38,000","34,000","31,000","32,000","32,000","35,000","33,000","37,000","42,000","39,000","38,000"
Kirklees,"23,000","22,000","23,000","22,000","24,000","25,000","26,000","27,000","22,000","19,000","21,000","21,000","23,000","22,000","24,000","28,000","25,000","25,000"
Doncaster,"18,000","19,000","20,000","19,000","21,000","21,000","22,000","24,000","20,000","17,000","18,000","18,000","20,000","20,000","22,000","25,000","23,000","22,000"
Sunderland,"22,000","23,000","24,000","23,000","26,000","28,000","28,000","29,000","25,000","22,000","22,000","23,000","25,000","25,000","28,000","33,000","30,000","30,000"
Medway,"22,000","22,000","23,000","22,000","23,000","24,000","25,000","24,000","22,000","19,000","20,000","20,000","22,000","22,000","24,000","28,000","26,000","25,000"
Brighton and Hove,"27,000","29,000","31,000","29,000","30,000","32,000","33,000","35,000","31,000","26,000","28,000","28,000","32,000","32,000","35,000","40,000","37,000","35,000"
Plymouth,"24,000","24,000","25,000","23,000","25,000","26,000","27,000","28,000","24,000","20,000","22,000","22,000","25,000","25,000","26,000","29,000","26,000","26,000"
