Gross domestic product (GDP) at current market prices by metropolitan regions [met_10r_3gdp],,,,,,,,,,,,,,,,,,
Swansea,"21,000","21,000","21,000","20,000","22,000","23,000","24,000","25,000","22,000","19,000","20,000","21,000","22,000","22,000","25,000","28,000","25,000","24,000"
Derby,"32,000","32,000","33,000","31,000","33,000","35,000","36,000","37,000","32,000","28,000","30,000","31,000","33,000","33,000","35,000","40,000","36,000","34,000"
Southampton,"31,000","32,000","33,000","31,000","34,000","35,000","36,000","38,000","33,000","29,000","31,000","32,000","35,000","34,000","37,000","43,000","38,000","37,000"
Northampton,"31,000","31,000","31,000","29,000","31,000","32,000","34,000","36,000","31,000","27,000","30,000","29,000","32,000","32,000","35,000","39,000","37,000","36,000"
Bournemouth,"29,000","29,000","29,000","29,000","30,000","32,000","33,000","33,000","29,000","26,000","27,000","26,000","29,000","29,000","31,000","35,000","32,000","32,000"
Colchester,"24,000","24,000","25,000","24,000","25,000","26,000","27,000","28,000","24,000","20,000","22,000","22,000","24,000","24,000","26,000","29,000","27,000","27,000"
Blackburn - Blackpool - Preston,"27,000","27,000","28,000","27,000","29,000","29,000","30,000","32,000","27,000","24,000","25,000","26,000","28,000","28,000","30,000","37,000","35,000","33,000"
Middlesbrough,"22,000","21,000","22,000","22,000","24,000","25,000","26,000","27,000","23,000","21,000","22,000","22,000","23,000","23,000","25,000","28,000","25,000","24,000"
Oxford,"37,000","37,000","39,000","37,000","38,000","39,000","40,000","41,000","37,000","33,000","35,000","36,000","39,000","39,000","43,000","50,000","46,000","44,000"
Norwich,"26,000","27,000","28,000","27,000","29,000","31,000","32,000","32,000","28,000","25,000","25,000","25,000","28,000","28,000","30,000","34,000","31,000","30,000"
Cheshire West and Chester,"29,000","29,000","30,000","28,000","30,000","31,000","33,000","35,000","29,000","27,000","29,000","29,000","32,000","31,000","34,000","39,000","37,000","36,000"
Ipswich,"27,000","27,000","28,000","27,000","28,000","29,000","30,000","31,000","27,000","23,000","25,000","25,000","27,000","27,000","30,000","33,000","30,000","29,000"
Non-metropolitan regions in United Kingdom,"25,000","25,000","26,000","25,000","27,000","27,000","29,000","29,000","26,000","22,000","24,000","24,000","26,000","26,000","28,000","32,000","29,000","28,000"
,,,,,,,,,,,,,,,,,,
Special value:,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UNIT,Purchasing power standard (PPS) per inhabitant,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METROREG/TIME,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017
Germany (until 1990 former territory of the FRG),"24,000","25,000","25,000","26,000","27,000","28,000","29,000","31,000","31,000","29,000","31,000","32,000","33,000","33,000","35,000","36,000","36,000","37,000"
Berlin,"22,000","22,000","22,000","22,000","23,000","24,000","25,000","26,000","26,000","26,000","27,000","28,000","29,000","29,000","30,000","31,000","32,000",:
Hamburg,"33,000","34,000","35,000","35,000","37,000","38,000","38,000","40,000","40,000","38,000","39,000","40,000","41,000","42,000","43,000","45,000","45,000",:
München,"44,000","46,000","47,000","46,000","48,000","49,000","50,000","53,000","51,000","48,000","50,000","53,000","54,000","54,000","56,000","59,000","59,000",:
Köln,"33,000","34,000","34,000","34,000","36,000","36,000","37,000","40,000","38,000","36,000","38,000","39,000","40,000","40,000","42,000","45,000","45,000",:
Frankfurt am Main,"40,000","41,000","41,000","43,000","44,000","44,000","46,000","48,000","48,000","44,000","46,000","47,000","48,000","48,000","50,000","51,000","50,000",:
Stuttgart,"34,000","36,000","36,000","37,000","37,000","37,000","40,000","43,000","41,000","37,000","42,000","44,000","45,000","45,000","47,000","50,000","50,000",:
Leipzig,"17,000","18,000","19,000","19,000","20,000","20,000","22,000","23,000","23,000","22,000","24,000","25,000","26,000","27,000","28,000","29,000","29,000",:
Dresden,"17,000","18,000","19,000","20,000","22,000","22,000","22,000","23,000","23,000","22,000","23,000","24,000","25,000","25,000","26,000","28,000","29,000",:
Düsseldorf,"36,000","39,000","39,000","40,000","42,000","43,000","44,000","48,000","49,000","45,000","47,000","48,000","48,000","49,000","51,000","52,000","52,000",:
Bremen,"25,000","26,000","26,000","26,000","28,000","28,000","29,000","31,000","31,000","28,000","30,000","32,000","33,000","33,000","35,000","36,000","36,000",:
Hannover,"27,000","27,000","28,000","28,000","29,000","31,000","33,000","34,000","34,000","32,000","34,000","36,000","36,000","36,000","37,000","38,000","39,000",:
Nürnberg,"29,000","29,000","30,000","30,000","32,000","32,000","33,000","35,000","35,000","34,000","35,000","38,000","39,000","39,000","41,000","42,000","43,000",:
Bielefeld,"25,000","27,000","26,000","26,000","27,000","28,000","29,000","31,000","31,000","29,000","30,000","32,000","33,000","34,000","35,000","36,000","37,000",:
Halle an der Saale,"19,000","19,000","20,000","21,000","22,000","23,000","24,000","24,000","24,000","23,000","25,000","26,000","27,000","26,000","27,000","29,000","29,000",:
Magdeburg,"18,000","18,000","20,000","20,000","21,000","21,000","22,000","24,000","24,000","23,000","24,000","25,000","26,000","26,000","28,000","28,000","28,000",:
Wiesbaden,"31,000","32,000","33,000","35,000","36,000","36,000","37,000","39,000","39,000","37,000","38,000","39,000","40,000","41,000","43,000","44,000","44,000",:
Göttingen,"21,000","21,000","21,000","21,000","23,000","23,000","24,000","27,000","26,000","24,000","26,000","28,000","28,000","28,000","29,000","30,000","30,000",:
Darmstadt,"27,000","29,000","30,000","29,000","31,000","31,000","32,000","34,000","34,000","32,000","34,000","36,000","37,000","37,000","38,000","39,000","41,000",:
Freiburg im Breisgau,"24,000","24,000","25,000","25,000","26,000","26,000","27,000","29,000","29,000","27,000","29,000","31,000","31,000","32,000","34,000","35,000","35,000",:
Regensburg,"28,000","28,000","28,000","29,000","31,000","32,000","33,000","36,000","36,000","33,000","37,000","40,000","40,000","40,000","42,000","43,000","43,000",:
Schwerin,"16,000","17,000","17,000","18,000","18,000","19,000","19,000","21,000","21,000","20,000","21,000","22,000","23,000","24,000","25,000","25,000","26,000",:
Erfurt,"18,000","19,000","19,000","20,000","21,000","21,000","23,000","24,000","24,000","23,000","24,000","26,000","26,000","27,000","28,000","29,000","30,000",:
Augsburg,"25,000","26,000","27,000","26,000","28,000","28,000","29,000","30,000","30,000","28,000","30,000","32,000","33,000","32,000","33,000","35,000","35,000",:
Bonn,"30,000","30,000","34,000","32,000","33,000","33,000","36,000","38,000","39,000","38,000","39,000","40,000","39,000","41,000","40,000","41,000","40,000",:
Karlsruhe,"31,000","32,000","33,000","32,000","34,000","35,000","38,000","40,000","40,000","38,000","40,000","41,000","41,000","41,000","42,000","45,000","45,000",:
Mönchengladbach,"22,000","24,000","23,000","23,000","23,000","24,000","24,000","27,000","26,000","25,000","26,000","27,000","29,000","28,000","30,000","31,000","32,000",:
Mainz,"32,000","32,000","32,000","31,000","32,000","33,000","34,000","36,000","36,000","36,000","37,000","39,000","40,000","40,000","41,000","42,000","42,000",:
Ruhrgebiet,"20,000","21,000","21,000","22,000","23,000","24,000","24,000","26,000","27,000","26,000","27,000","28,000","28,000","28,000","30,000","30,000","30,000",:
Kiel,"23,000","24,000","24,000","24,000","25,000","25,000","26,000","26,000","27,000","26,000","27,000","28,000","30,000","29,000","31,000","31,000","31,000",:
Saarbrücken,"23,000","24,000","24,000","25,000","27,000","29,000","30,000","32,000","32,000","28,000","30,000","33,000","33,000","32,000","34,000","36,000","35,000",:
Koblenz,"29,000","29,000","30,000","31,000","33,000","33,000","34,000","35,000","35,000","33,000","35,000","37,000","37,000","39,000","40,000","42,000","42,000",:
Rostock,"18,000","18,000","19,000","19,000","20,000","20,000","20,000","22,000","23,000","22,000","24,000","25,000","25,000","26,000","27,000","28,000","27,000",:
Kaiserslautern,"19,000","19,000","19,000","20,000","21,000","21,000","21,000","22,000","23,000","22,000","23,000","24,000","24,000","25,000","27,000","28,000","28,000",:
Iserlohn,"23,000","23,000","23,000","23,000","24,000","25,000","27,000","28,000","28,000","26,000","28,000","30,000","31,000","31,000","32,000","34,000","34,000",:
Flensburg,"21,000","21,000","21,000","22,000","23,000","23,000","24,000","25,000","25,000","24,000","25,000","26,000","27,000","27,000","28,000","29,000","29,000",:
Konstanz,"22,000","23,000","22,000","23,000","23,000","25,000","26,000","28,000","28,000","26,000","27,000","28,000","29,000","31,000","31,000","32,000","32,000",:
Gießen,"25,000","26,000","27,000","27,000","28,000","28,000","29,000","31,000","31,000","27,000","29,000","30,000","30,000","30,000","31,000","32,000","33,000",:
Bayreuth,"23,000","23,000","23,000","23,000","23,000","24,000","25,000","26,000","26,000","26,000","27,000","29,000","30,000","31,000","32,000","34,000","34,000",:
Aschaffenburg,"24,000","26,000","27,000","28,000","28,000","29,000","31,000","33,000","32,000","30,000","32,000","35,000","35,000","35,000","36,000","37,000","38,000",:
Neubrandenburg,"16,000","16,000","16,000","17,000","18,000","18,000","19,000","21,000","20,000","20,000","21,000","21,000","22,000","22,000","23,000","24,000","24,000",:
Rosenheim,"21,000","22,000","23,000","22,000","24,000","24,000","26,000","27,000","27,000","26,000","27,000","29,000","30,000","30,000","32,000","32,000","32,000",:
Offenburg,"26,000","27,000","27,000","27,000","29,000","30,000","31,000","33,000","33,000","30,000","32,000","34,000","33,000","34,000","35,000","37,000","38,000",:
Görlitz,"12,000","12,000","13,000","14,000","14,000","15,000","16,000","18,000","18,000","18,000","19,000","20,000","21,000","22,000","23,000","24,000","24,000",:
Schweinfurt,"24,000","24,000","26,000","25,000","27,000","28,000","29,000","31,000","31,000","28,000","31,000","34,000","35,000","36,000","37,000","38,000","38,000",:
Wetzlar,"22,000","22,000","22,000","23,000","25,000","25,000","27,000","28,000","29,000","25,000","27,000","29,000","29,000","28,000","30,000","31,000","31,000",:
Braunschweig-Salzgitter-Wolfsburg,"27,000","28,000","27,000","27,000","28,000","30,000","31,000","33,000","33,000","29,000","34,000","38,000","39,000","39,000","42,000","39,000","48,000",:
Mannheim-Ludwigshafen,"30,000","30,000","32,000","32,000","34,000","34,000","35,000","37,000","37,000","35,000","37,000","39,000","39,000","39,000","40,000","42,000","42,000",:
Münster,"32,000","33,000","33,000","34,000","36,000","37,000","39,000","41,000","41,000","37,000","37,000","38,000","39,000","39,000","41,000","42,000","42,000",:
Aachen,"24,000","24,000","26,000","25,000","26,000","26,000","27,000","29,000","29,000","27,000","29,000","30,000","31,000","31,000","33,000","34,000","35,000",:
Lübeck,"21,000","22,000","22,000","23,000","22,000","23,000","23,000","24,000","24,000","23,000","24,000","25,000","27,000","27,000","29,000","29,000","30,000",:
Kassel,"25,000","26,000","27,000","28,000","29,000","29,000","30,000","31,000","31,000","29,000","31,000","32,000","32,000","33,000","35,000","36,000","39,000",:
Osnabrück,"23,000","23,000","23,000","24,000","25,000","26,000","27,000","29,000","29,000","26,000","28,000","30,000","30,000","31,000","32,000","33,000","33,000",:
Oldenburg (Oldenburg),"23,000","23,000","24,000","23,000","24,000","24,000","25,000","27,000","27,000","26,000","27,000","28,000","29,000","29,000","30,000","31,000","31,000",:
Heidelberg,"25,000","26,000","27,000","26,000","27,000","28,000","30,000","31,000","32,000","30,000","32,000","33,000","33,000","33,000","34,000","35,000","36,000",:
Paderborn,"22,000","22,000","23,000","22,000","24,000","25,000","26,000","29,000","29,000","27,000","28,000","29,000","30,000","30,000","33,000","33,000","34,000",:
Würzburg,"24,000","25,000","25,000","25,000","26,000","27,000","28,000","29,000","29,000","28,000","30,000","32,000","33,000","33,000","35,000","36,000","36,000",:
Bremerhaven,"17,000","17,000","18,000","18,000","19,000","20,000","21,000","22,000","21,000","21,000","22,000","23,000","24,000","24,000","25,000","25,000","25,000",:
Heilbronn,"30,000","31,000","30,000","30,000","31,000","33,000","36,000","38,000","38,000","35,000","38,000","41,000","44,000","45,000","46,000","48,000","47,000",:
Ulm,"27,000","28,000","28,000","28,000","30,000","31,000","33,000","36,000","36,000","33,000","35,000","37,000","37,000","38,000","39,000","41,000","41,000",:
Pforzheim,"23,000","23,000","23,000","23,000","25,000","26,000","27,000","28,000","27,000","25,000","28,000","29,000","30,000","31,000","31,000","32,000","32,000",:
Ingolstadt,"26,000","29,000","29,000","31,000","32,000","33,000","36,000","38,000","35,000","34,000","43,000","47,000","50,000","54,000","55,000","59,000","58,000",:
Reutlingen,"26,000","26,000","27,000","27,000","29,000","28,000","30,000","31,000","32,000","28,000","31,000","33,000","33,000","34,000","37,000","37,000","38,000",:
Siegen,"22,000","22,000","22,000","23,000","24,000","25,000","27,000","28,000","29,000","26,000","28,000","30,000","31,000","30,000","32,000","33,000","34,000",:
Hildesheim,"18,000","18,000","19,000","20,000","20,000","20,000","21,000","21,000","22,000","20,000","22,000","23,000","24,000","24,000","25,000","26,000","26,000",:
Zwickau,"16,000","17,000","17,000","18,000","19,000","18,000","19,000","21,000","21,000","20,000","21,000","23,000","24,000","24,000","26,000","28,000","29,000",:
Wuppertal,"26,000","25,000","26,000","25,000","27,000","28,000","28,000","30,000","30,000","29,000","29,000","31,000","31,000","31,000","33,000","34,000","35,000",:
Düren,"19,000","19,000","19,000","19,000","20,000","21,000","22,000","23,000","24,000","22,000","23,000","24,000","25,000","25,000","26,000","26,000","27,000",:
Bocholt,"21,000","21,000","21,000","21,000","22,000","23,000","24,000","26,000","26,000","25,000","27,000","29,000","30,000","30,000","32,000","33,000","34,000",:
Non-metropolitan regions in Germany,"19,000","20,000","20,000","21,000","22,000","22,000","23,000","25,000","25,000","23,000","25,000","27,000","28,000","28,000","29,000","31,000","31,000",:
Ireland,"26,000","28,000","30,000","31,000","33,000","34,000","37,000","39,000","35,000","32,000","33,000","34,000","35,000","35,000","38,000","52,000","52,000","54,000"
Dublin,"33,000","34,000","35,000","36,000","39,000","42,000","44,000","47,000","43,000","40,000","42,000","41,000","42,000","45,000","49,000","56,000","59,000",:
Cork,"29,000","33,000","42,000","39,000","37,000","39,000","42,000","45,000","39,000","38,000","39,000","44,000","45,000","42,000","46,000",:,:,:
Non-metropolitan regions in Ireland,"20,000","21,000","21,000","23,000","25,000","25,000","27,000","28,000","25,000","22,000","23,000","24,000","24,000","24,000","24,000",:,:,:
Spain,"19,000","20,000","21,000","21,000","22,000","24,000","26,000","27,000","26,000","25,000","24,000","24,000","24,000","24,000","25,000","26,000","27,000","28,000"
Madrid,"25,000","27,000","28,000","28,000","29,000","31,000","34,000","36,000","35,000","33,000","33,000","33,000","33,000","33,000","34,000","36,000","36,000",:
Barcelona,"23,000","24,000","25,000","25,000","26,000","28,000","30,000","32,000","31,000","29,000","29,000","28,000","28,000","28,000","30,000","31,000","32,000",:
Valencia,"18,000","19,000","20,000","20,000","21,000","22,000","24,000","25,000","25,000","23,000","23,000","22,000","22,000","22,000","23,000","24,000","24,000",:
Sevilla,"14,000","15,000","17,000","17,000","18,000","19,000","21,000","22,000","22,000","20,000","20,000","20,000","20,000","19,000","20,000","21,000","21,000",:
Zaragoza,"20,000","21,000","22,000","23,000","24,000","26,000","28,000","30,000","29,000","27,000","27,000","27,000","26,000","26,000","27,000","29,000","29,000",:
Málaga - Marbella,"14,000","15,000","16,000","16,000","17,000","19,000","20,000","21,000","20,000","19,000","19,000","18,000","18,000","17,000","18,000","19,000","19,000",:
Murcia - Cartagena,"16,000","17,000","18,000","18,000","19,000","20,000","21,000","22,000","22,000","20,000","20,000","20,000","20,000","20,000","20,000","22,000","22,000",:
Las Palmas,:,:,"20,000","20,000","20,000","21,000","22,000","23,000","23,000","21,000","21,000","20,000","20,000","20,000","20,000","21,000","21,000",:
Valladolid,"19,000","20,000","21,000","21,000","22,000","24,000","25,000","27,000","26,000","24,000","25,000","24,000","24,000","24,000","25,000","26,000","27,000",:
Palma de Mallorca,:,:,"26,000","25,000","26,000","27,000","29,000","30,000","29,000","27,000","26,000","26,000","26,000","26,000","27,000","29,000","29,000",:
Vitoria/Gasteiz,"26,000","28,000","30,000","30,000","32,000","34,000","38,000","41,000","41,000","37,000","36,000","36,000","36,000","37,000","39,000","40,000","40,000",:
Oviedo - Gijón,"16,000","17,000","18,000","18,000","19,000","21,000","23,000","24,000","24,000","22,000","22,000","22,000","22,000","21,000","22,000","23,000","23,000",:
Pamplona/Iruña,"24,000","25,000","26,000","26,000","28,000","29,000","32,000","33,000","33,000","31,000","30,000","30,000","30,000","30,000","31,000","33,000","33,000",:
Santander,"18,000","19,000","20,000","20,000","21,000","22,000","24,000","25,000","25,000","23,000","23,000","22,000","22,000","22,000","23,000","24,000","24,000",:
Bilbao,"22,000","23,000","24,000","25,000","26,000","28,000","30,000","31,000","32,000","30,000","30,000","30,000","30,000","30,000","31,000","33,000","34,000",:
Córdoba,"13,000","13,000","14,000","15,000","16,000","17,000","18,000","20,000","19,000","18,000","18,000","17,000","17,000","17,000","18,000","19,000","19,000",:
Alicante/Alacant - Elche/Elx,"17,000","18,000","18,000","18,000","19,000","20,000","22,000","22,000","22,000","20,000","19,000","19,000","19,000","18,000","20,000","21,000","21,000",:
Vigo,"15,000","16,000","16,000","17,000","18,000","19,000","21,000","23,000","23,000","21,000","21,000","20,000","20,000","20,000","21,000","22,000","22,000",:
Santa Cruz de Tenerife,:,:,"20,000","20,000","21,000","22,000","23,000","24,000","23,000","21,000","22,000","21,000","21,000","21,000","21,000","22,000","22,000",:
A Coruña,"15,000","16,000","17,000","18,000","19,000","20,000","22,000","24,000","24,000","23,000","23,000","23,000","22,000","22,000","23,000","25,000","25,000",:
Granada,"13,000","13,000","14,000","15,000","16,000","16,000","18,000","19,000","19,000","18,000","17,000","17,000","17,000","17,000","18,000","19,000","19,000",:
Guipúzcoa,"24,000","26,000","27,000","27,000","28,000","30,000","33,000","35,000","34,000","32,000","32,000","32,000","33,000","32,000","33,000","34,000","35,000",:
Cádiz,"14,000","15,000","16,000","16,000","17,000","18,000","20,000","20,000","20,000","18,000","18,000","18,000","18,000","17,000","17,000","18,000","19,000",:
Non-metropolitan regions in Spain,:,:,"19,000","19,000","20,000","21,000","23,000","24,000","24,000","22,000","22,000","22,000","22,000","22,000","22,000","24,000","24,000",:
United Kingdom,"23,000","24,000","25,000","26,000","27,000","28,000","29,000","29,000","29,000","26,000","28,000","28,000","29,000","29,000","30,000","32,000","31,000","32,000"
London,"34,000","35,000","36,000","37,000","39,000","41,000","42,000","44,000","43,000","39,000","41,000","41,000","43,000","43,000","45,000","48,000","47,000","48,000"
West Midlands urban area,"20,000","21,000","21,000","21,000","22,000","23,000","23,000","24,000","23,000","21,000","22,000","22,000","22,000","23,000","24,000","25,000","26,000","26,000"
Leeds,"21,000","22,000","24,000","25,000","26,000","27,000","28,000","28,000","27,000","25,000","26,000","26,000","27,000","27,000","28,000","29,000","29,000","29,000"
Glasgow,"18,000","19,000","20,000","21,000","22,000","23,000","24,000","24,000","24,000","22,000","22,000","22,000","23,000","24,000","25,000","26,000","25,000","26,000"
Bradford,"18,000","18,000","19,000","19,000","20,000","20,000","21,000","22,000","20,000","19,000","19,000","19,000","20,000","20,000","21,000","22,000","22,000","22,000"
Liverpool,"17,000","18,000","19,000","20,000","21,000","21,000","22,000","22,000","22,000","21,000","22,000","22,000","22,000","22,000","23,000","24,000","23,000","24,000"
Edinburgh,"26,000","28,000","30,000","32,000","34,000","35,000","36,000","37,000","36,000","35,000","34,000","35,000","35,000","36,000","37,000","39,000","39,000","39,000"
Manchester,"20,000","21,000","22,000","22,000","24,000","24,000","25,000","26,000","25,000","23,000","24,000","24,000","25,000","26,000","26,000","28,000","28,000","28,000"
Cardiff,"17,000","18,000","19,000","19,000","20,000","20,000","21,000","22,000","21,000","19,000","20,000","21,000","21,000","22,000","22,000","23,000","23,000","24,000"
Sheffield,"18,000","20,000","21,000","21,000","22,000","22,000","23,000","24,000","23,000","22,000","22,000","22,000","23,000","23,000","23,000","24,000","24,000","24,000"
Bristol,"24,000","26,000","27,000","28,000","29,000","29,000","30,000","31,000","31,000","29,000","31,000","31,000","32,000","32,000","34,000","35,000","34,000","34,000"
Belfast,"24,000","25,000","26,000","27,000","29,000","30,000","31,000","31,000","30,000","29,000","29,000","29,000","31,000","31,000","31,000","33,000","33,000","33,000"
Newcastle upon Tyne,"17,000","18,000","19,000","20,000","22,000","22,000","23,000","23,000","23,000","21,000","22,000","22,000","23,000","23,000","23,000","25,000","24,000","25,000"
Leicester,"19,000","20,000","20,000","21,000","22,000","22,000","23,000","24,000","23,000","21,000","22,000","22,000","23,000","23,000","24,000","26,000","25,000","25,000"
Aberdeen,"30,000","33,000","34,000","34,000","35,000","37,000","39,000","42,000","45,000","42,000","43,000","44,000","46,000","47,000","48,000","47,000","44,000","44,000"
Cambridge,"24,000","25,000","26,000","26,000","27,000","27,000","29,000","30,000","29,000","27,000","28,000","29,000","30,000","31,000","32,000","34,000","33,000","33,000"
Exeter,"18,000","18,000","19,000","20,000","22,000","22,000","23,000","23,000","22,000","21,000","22,000","22,000","22,000","23,000","23,000","25,000","25,000","24,000"
Portsmouth,"22,000","23,000","25,000","24,000","26,000","26,000","27,000","27,000","27,000","25,000","27,000","26,000","27,000","28,000","28,000","29,000","28,000","28,000"
Coventry,"23,000","23,000","25,000","25,000","26,000","27,000","27,000","27,000","26,000","24,000","25,000","26,000","28,000","29,000","31,000","33,000","32,000","32,000"
Kingston upon Hull,"17,000","18,000","19,000","20,000","21,000","21,000","22,000","22,000","22,000","21,000","21,000","21,000","21,000","21,000","21,000","23,000","23,000","22,000"
Stoke-on-Trent,"17,000","18,000","19,000","19,000","20,000","21,000","21,000","21,000","21,000","19,000","20,000","20,000","20,000","21,000","21,000","23,000","22,000","22,000"
Nottingham,"26,000","27,000","28,000","28,000","30,000","31,000","30,000","30,000","30,000","29,000","30,000","30,000","30,000","30,000","31,000","33,000","33,000","34,000"
Kirklees,"17,000","17,000","18,000","19,000","20,000","21,000","21,000","21,000","20,000","19,000","19,000","20,000","20,000","20,000","21,000","22,000","22,000","22,000"
Doncaster,"14,000","14,000","15,000","16,000","17,000","17,000","18,000","19,000","18,000","16,000","17,000","17,000","17,000","18,000","18,000","20,000","20,000","20,000"
Sunderland,"16,000","18,000","19,000","20,000","21,000","23,000","23,000","23,000","22,000","21,000","21,000","21,000","22,000","23,000","24,000","26,000","26,000","27,000"
Medway,"16,000","17,000","18,000","18,000","19,000","19,000","20,000","19,000","19,000","18,000","19,000","18,000","19,000","20,000","20,000","22,000","22,000","22,000"
Brighton and Hove,"21,000","22,000","24,000","25,000","25,000","26,000","27,000","28,000","28,000","25,000","26,000","26,000","28,000","29,000","30,000","32,000","31,000","32,000"
Plymouth,"18,000","19,000","19,000","19,000","21,000","21,000","22,000","22,000","21,000","19,000","20,000","21,000","22,000","22,000","22,000","23,000","23,000","23,000"
Swansea,"16,000","16,000","17,000","17,000","18,000","19,000","20,000","20,000","19,000","18,000","19,000","19,000","20,000","20,000","21,000","22,000","22,000","22,000"
Derby,"24,000","25,000","26,000","26,000","28,000","29,000","29,000","29,000","28,000","27,000","28,000","29,000","29,000","30,000","30,000","32,000","31,000","31,000"
Southampton,"24,000","25,000","26,000","26,000","28,000","29,000","29,000","30,000","30,000","28,000","29,000","30,000","31,000","31,000","32,000","34,000","32,000","33,000"
Northampton,"24,000","24,000","24,000","25,000","26,000","26,000","28,000","29,000","28,000","26,000","28,000","27,000","28,000","29,000","30,000","31,000","32,000","32,000"
Bournemouth,"22,000","22,000","23,000","24,000","25,000","26,000","27,000","27,000","26,000","25,000","25,000","24,000","25,000","26,000","27,000","28,000","28,000","28,000"
Colchester,"18,000","19,000","19,000","21,000","21,000","21,000","22,000","22,000","22,000","19,000","21,000","21,000","21,000","21,000","22,000","23,000","23,000","24,000"
Blackburn - Blackpool - Preston,"20,000","21,000","22,000","23,000","24,000","24,000","25,000","25,000","24,000","23,000","24,000","24,000","24,000","25,000","25,000","29,000","30,000","30,000"
Middlesbrough,"16,000","17,000","17,000","18,000","20,000","20,000","21,000","21,000","21,000","20,000","20,000","20,000","20,000","20,000","21,000","22,000","21,000","21,000"
Oxford,"28,000","29,000","30,000","31,000","32,000","32,000","32,000","33,000","33,000","31,000","33,000","33,000","34,000","35,000","37,000","40,000","39,000","39,000"
Norwich,"20,000","21,000","22,000","22,000","24,000","25,000","26,000","26,000","25,000","24,000","24,000","23,000","25,000","25,000","25,000","26,000","27,000","26,000"
Cheshire West and Chester,"22,000","23,000","24,000","24,000","25,000","26,000","27,000","27,000","26,000","25,000","27,000","27,000","28,000","28,000","29,000","31,000","31,000","33,000"
Ipswich,"20,000","21,000","22,000","23,000","23,000","24,000","25,000","25,000","24,000","22,000","23,000","23,000","24,000","24,000","25,000","26,000","26,000","26,000"
Non-metropolitan regions in United Kingdom,"19,000","20,000","20,000","21,000","22,000","22,000","23,000","23,000","23,000","21,000","22,000","22,000","23,000","23,000","24,000","25,000","25,000","25,000"
